date_2020,ID,dateu,PM2.5_daily,temperature
3/16/2022,54095,2022-03-16,43.263,79.067
2/21/2022,47633,2022-02-21,43.249,74.036
3/3/2022,7906,2022-03-03,43.226,90.867
3/6/2022,15587,2022-03-06,43.189,89.7
3/6/2022,15591,2022-03-06,42.988,86.067
3/7/2022,36451,2022-03-07,42.984,75.133
3/11/2022,47481,2022-03-11,42.938,64.533
3/16/2022,47529,2022-03-16,42.84,NA
3/6/2022,12867,2022-03-06,42.553,84.867
3/3/2022,5988,2022-03-03,42.539,99.133
3/3/2022,2873,2022-03-03,42.491,94.667
3/16/2022,11184,2022-03-16,42.486,76.167
3/5/2022,12787,2022-03-05,42.353,85.567
3/5/2022,36451,2022-03-05,42.27,82.933
3/16/2022,57681,2022-03-16,42.266,76.1
3/6/2022,45621,2022-03-06,42.139,84.733
3/16/2022,25561,2022-03-16,42.089,74.533
2/27/2022,7906,2022-02-27,41.947,60.9
2/21/2022,6020,2022-02-21,41.93,68.167
3/16/2022,47457,2022-03-16,41.887,78.933
2/21/2022,38871,2022-02-21,41.879,69.033
3/15/2022,6112,2022-03-15,41.851,85.033
3/16/2022,48745,2022-03-16,41.791,80
3/4/2022,1138,2022-03-04,41.722,NA
3/5/2022,47477,2022-03-05,41.533,80.367
3/2/2022,55773,2022-03-02,41.494,78.5
3/6/2022,47457,2022-03-06,41.489,86.633
2/21/2022,1326,2022-02-21,41.471,72.067
3/15/2022,12689,2022-03-15,41.466,76.9
2/24/2022,12721,2022-02-24,41.46,68.467
3/16/2022,15587,2022-03-16,41.435,79.733
3/16/2022,12835,2022-03-16,41.417,69.1
3/5/2022,7906,2022-03-05,41.367,82.9
3/5/2022,47469,2022-03-05,41.366,74.933
3/16/2022,47621,2022-03-16,41.337,78.667
3/9/2022,4329,2022-03-09,41.317,70
3/16/2022,47465,2022-03-16,41.109,75.433
3/5/2022,12697,2022-03-05,41.011,77.8
3/2/2022,15587,2022-03-02,40.82,87.267
3/5/2022,54095,2022-03-05,40.759,77.367
3/3/2022,5996,2022-03-03,40.686,-221
3/1/2022,5872,2022-03-01,40.632,89.533
2/25/2022,52885,2022-02-25,40.628,71.7
2/25/2022,20809,2022-02-25,40.456,79.833
3/5/2022,47529,2022-03-05,40.308,NA
3/9/2022,48745,2022-03-09,40.29,70.9
3/2/2022,54095,2022-03-02,40.284,88.1
3/2/2022,6112,2022-03-02,40.185,85.533
3/11/2022,47477,2022-03-11,40.093,78.8
3/5/2022,47505,2022-03-05,40.081,78.433
3/9/2022,38875,2022-03-09,40.024,85.7
3/16/2022,2873,2022-03-16,39.964,78.833
3/5/2022,28147,2022-03-05,39.836,77.433
3/5/2022,47459,2022-03-05,39.708,76.3
2/22/2022,12867,2022-02-22,39.603,80.667
2/23/2022,12689,2022-02-23,39.595,89
3/16/2022,47615,2022-03-16,39.556,77.5
3/5/2022,47641,2022-03-05,39.553,NA
3/16/2022,38917,2022-03-16,39.499,78.367
3/16/2022,6008,2022-03-16,39.476,75.367
2/28/2022,12823,2022-02-28,39.431,87.7
3/18/2022,47457,2022-03-18,39.34,83.933
